Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region
Adam Johnson,adam-johnson,Citations Needed,https://podcasts.apple.com/us/podcast/citations-needed/id1258545975,Podcast,,,,,,,"Media/Power, Politics",National - US,"Power & Politics, Culture & Media",,,US,National
Adam Klasfeld,adam-klasfeld,All Rise News,https://allrisenews.com,Newsletter - Substack,,,,,,,Law/Legal Issues,"New York, NY",Power & Politics,New York,NY,US,Northeast
Adam Kucharski,adam-kucharski,Understanding the Unseen,https://kucharski.substack.com,Newsletter - Substack,,,,,,,"Health/Wellness, Science",United Kingdom,"Science, Health & Environment",,,United Kingdom,International
Adam Mastroianni,adam-mastroianni,Experimental History,https://www.experimental-history.com,Newsletter - Substack,,,,,,,Science,Ohio - US,"Science, Health & Environment",,OH,US,Midwest
Adam Mockler,adam-mockler,Adam Mockler,https://www.youtube.com/@adammockler,Video - YouTube,,,,,,,Politics,"Chicago, IL",Power & Politics,Chicago,IL,US,Midwest
Adam Schrader,adam-schrader,Urgent Matter,https://www.urgentmatter.press,Newsletter - Ghost,,,,,,,"Art, Culture, Museums","New York, NY",Culture & Media,New York,NY,US,Northeast
Adam Tooze,adam-tooze,Chartbook,https://adamtooze.substack.com,Newsletter - Substack,Social - Twitter / X,,,,,,"Finance/Economics, World, Politics","New York, NY","Power & Politics, Money & Work, General News",New York,NY,US,Northeast
Adriana Goblirsch,adriana-goblirsch,Adriana Goblirsch,https://www.instagram.com/adriana.goblirsch,Video - Instagram,,,,,,,"Health/Wellness, Motherhood, Parenting, Activism",Minnesota - US,"Social Issues, Science, Health & Environment, Lifestyle & Personal Life",,MN,US,Midwest
Adrienne Keene,adrienne-keene,All My Relations Podcast,https://www.allmyrelationspodcast.com,Podcast,,,,,,,"Culture, Identity/Belonging","Seatlle, WA","Social Issues, Culture & Media",Seatlle,WA,US,West
Adrienne Samuels-Gibbs,adrienne-samuels-gibbs,Adrienne Samuels-Gibbs,https://www.linkedin.com/in/adriennesamuelsgibbs,Social - LinkedIn,,,,,,,"Culture, Entertainment/Hollywood, Identity/Belonging","Chicago, IL","Social Issues, Culture & Media",Chicago,IL,US,Midwest
Aella,aella,Knowingless,https://knowingless.com,Website,Social - Twitter / X,https://x.com/aella_girl,,,,,"Gender, Dating/Romance","San Francisco, CA","Social Issues, Lifestyle & Personal Life",San Francisco,CA,US,West
Alandya Warren,alandya-warren,Alandya Warren,https://www.tiktok.com/@ebonyarchival,Video - TikTok,,,,,,,History,North Carolina - US,Culture & Media,,NC,US,South
Alastair Campbell,alastair-campbell,Rest Is Politics,https://www.youtube.com/@restispolitics,Video - YouTube,,,,,,,"Politics, World",United Kingdom,"Power & Politics, General News",,,United Kingdom,International
Albert Ting,albert-ting,pootie_ting,https://www.instagram.com/pootie_ting,Video - Instagram,,,,,,,Things to do,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Alberto Cairo,alberto-cairo,Open Visualization Academy,https://openvisualizationacademy.beehiiv.com,Website,,,,,,,Data Visualization,"Miami, FL",Journalism Formats,Miami,FL,US,South
Alec Karakatsanis,alec-karakatsanis,Copaganda Newsletter,https://equalityalec.substack.com,Newsletter - Substack,,,,,,,Law/Legal Issues,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Alec Watson,alec-watson,Technology Connections,https://www.youtube.com/@TechnologyConnections,Video - YouTube,,,,,,,"Tech, Science",National - US,"Science, Health & Environment, Money & Work",,,US,National
Alessandra Ram,alessandra-ram,Good Luck Media,https://www.goodluckmedia.co,Podcast,,,,,,,"Climate/Environment, Investigative",California - US,"Science, Health & Environment, Journalism Formats",,CA,US,West
Alex Dobrenko,alex-dobrenko,Both Are True,https://botharetrue.substack.com,Newsletter - Substack,,,,,,,"Comedy, Parenting","Asheville, NC","Culture & Media, Lifestyle & Personal Life",Asheville,NC,US,South
Alex Falcone,alex-falcone,Alex Falcone,https://www.instagram.com/alexfalcone,Video - Instagram,,,,,,,"Comedy, Explanatory, Climate/Environment","Los Angeles, CA","Science, Health & Environment, Culture & Media, Journalism Formats",Los Angeles,CA,US,West
Alex H,alex-h,A Map Nerd,https://www.tiktok.com/@map_nerd,Video - TikTok,Video - YouTube,https://www.youtube.com/@MapNerdYT/shorts,,,,,World,"Los Angeles, CA",General News,Los Angeles,CA,US,West
Alex Heath,alex-heath,Sources ,https://sources.news,Newsletter - Substack,Podcast,,,,,,"Tech, Internet Culture, Finance/Economics","Los Angeles, CA","Money & Work, Culture & Media",Los Angeles,CA,US,West
Alex Kantrowitz,alex-kantrowitz,Big Technology,https://www.bigtechnology.com,Newsletter - Substack,Podcast,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Alex Kellerman,alex-kellerman,The F*ckin' News,https://www.instagram.com/the4ckinnews,Video - Instagram,Video - TikTok,,,,,,"General News, Comedy",North Carolina - US,"General News, Culture & Media",,NC,US,South
Alex Konrad,alex-konrad,Upstarts Media,https://www.upstartsmedia.com,Newsletter - Substack,Social - LinkedIn,https://www.linkedin.com/in/alexrkonrad,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Alex Schroeder,alex-schroeder,Devour DC,https://www.instagram.com/devourdc,Video - Instagram,,,,,,,Restaurants,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Alex Steffen,alex-steffen,The Snap Forward,https://alexsteffen.substack.com,Newsletter - Substack,Social - LinkedIn,,,,,,Climate/Environment,"San Francisco, CA","Science, Health & Environment",San Francisco,CA,US,West
Alexander C. Kaufman,alexander-c-kaufman,FIELD NOTES,https://kaufman.substack.com,Newsletter - Substack,,,,,,,"Climate/Environment, Energy","New York, NY","Science, Health & Environment",New York,NY,US,Northeast
Alexander Russo,alexander-russo,The Grade ,https://alexanderrusso.substack.com,Newsletter - Substack,Social - Twitter / X,,,,,,"Education, Local News, Media/Power","New York, NY","Civic Life, Culture & Media",New York,NY,US,Northeast
Alexandra Fasulo,alexandra-fasulo,House Of Green,https://houseofgreen.substack.com,Newsletter - Substack,,,,,,,Climate/Environment,New York - US,"Science, Health & Environment",,New York,United States,Northeast
Alexandra Stewart,alexandra-stewart,Sassy Confetti,https://www.tiktok.com/@.sassyconfetti,Video - TikTok,,,,,,,"Things to do, Restaurants, Lifestyle, Food, Bars, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Ali Slagle,ali-slagle,40 Ingredients Forever,https://alislagle.substack.com,Newsletter - Substack,Video - Instagram,,,,,,"Recipes, Food",National - US,Lifestyle & Personal Life,,,US,National
Ali Van Fleet,ali-van-fleet,Ali Van Fleet,https://www.tiktok.com/@alivanfleet,Video - TikTok,,,,,,,"Explanatory, Climate/Environment, Weather",National - US,"Civic Life, Science, Health & Environment, Journalism Formats",,,US,National
Alisa Tang,alisa-tang,Alisa Daily Dose,https://alisadailydose.beehiiv.com,Newsletter - Beehiiv,,,,,,,Local News,"Washington, D.C.",Civic Life,Washington,D.C.,,
Alison Roman,alison-roman,a newsletter ,https://alisoneroman.substack.com,Newsletter - Substack,Video - YouTube,,,,,,"Food, Day in a Life","New York, NY","Journalism Formats, Lifestyle & Personal Life",New York,NY,US,Northeast
Alissa Walker,alissa-walker,Torched LA,https://www.torched.la,Newsletter - Ghost,,,,,,,Local News,"Los Angeles, CA",Civic Life,Los Angeles,CA,US,West
Allie Jones,allie-jones,Gossip Time,https://www.gossiptime.news,Newsletter - Substack,,,,,,,"Culture, Entertainment/Hollywood","New York, NY",Culture & Media,New York,NY,US,Northeast
Alon Levy,alon-levy,Pedestrian Observations,https://pedestrianobservations.com,Newsletter - Substack,Website,,,,,,Transit/Transportation,"New York, NY",Civic Life,New York,NY,US,Northeast
Aly Walansky,aly-walansky,Aly Walansky,https://www.instagram.com/alywalansky,Video - Instagram,,,,,,,"Food, Travel, Recipes","New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast
Alyssa Faigen,alyssa-faigen,ATL_Bucketlist,https://www.instagram.com/atl_bucketlist,Video - Instagram,,,,,,,Things to Do,"Atlanta, GA",Lifestyle & Personal Life,Atlanta,GA,US,South
Alyssa Rosenberg,alyssa-rosenberg,Across the Movie Aisle,https://movieaisle.substack.com,Newsletter - Substack,,,,,,,Film/Movies,"Washington, D.C.",Culture & Media,Washington,D.C.,,
Amanda Informed,amanda-informed,Amanda Informed,https://www.tiktok.com/@amandainformed,Video - TikTok,Video - Instagram,,,,,,"Politics, Comedy",National - US,"Power & Politics, Culture & Media",,,US,National
Amanda Montei,amanda-montei,Mad Woman,https://amandamontei.substack.com,Newsletter - Substack,Video - Instagram,,,,,,"Gender, Internet Culture, Parenting",California - US,"Social Issues, Culture & Media, Lifestyle & Personal Life",,CA,US,West
Amanda Royal,amanda-royal,Earth Hope,https://earthhope.substack.com,Newsletter - Substack,,,,,,,"Climate/Environment, Positive News","San Francisco, CA","Science, Health & Environment, General News",San Francisco,CA,US,West
Amanda Shendruk,amanda-shendruk,Not-Ship,https://www.not-ship.com,Newsletter - Ghost,,,,,,,"Explanatory, Data Visualization",United Kingdom,Journalism Formats,,,United Kingdom,International
Amber Ferguson,amber-ferguson,Girl with Drive,https://www.tiktok.com/@girlwithdrive,Video - TikTok,,,,,,,Internet Culture,"Washington, D.C.",Culture & Media,Washington,D.C.,,
Amber Sherman,amber-sherman,The Law According to Amber,https://www.instagram.com/aisforafro,Video - Instagram,Video - TikTok,https://www.tiktok.com/@aisforafro,,,,,"Identity/Belonging, Government Accountability, Explanatory","Memphis, TN","Power & Politics, Social Issues, Journalism Formats",Memphis,TN,US,South
Ambreen Ali,ambreen-ali,Central Desi,https://centraldesi.beehiiv.com,Newsletter - Beehiiv,,,,,,,"Local News, Culture",New Jersey - US,"Civic Life, Culture & Media",,NJ,US,Northeast
Amelia,amelia,Emberwing,https://bsky.app/profile/thatwitchmia.bsky.social,Social - BlueSky,,,,,,,"Entertainment/Hollywood, Film/Movies","Los Angeles, CA",Culture & Media,Los Angeles,CA,US,West
Amin Tomalieh,amin-tomalieh,Chicago Food Guide,https://www.tiktok.com/@chicagofoodguide,Video - TikTok,,,,,,,"Things to do, Restaurants, Recipes, Food, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Amy Westervelt,amy-westervelt,Drilled,https://drilled.media,Podcast,Website,,,,,,"Climate/Environment, energy",Costa Rica,"Science, Health & Environment",,,,Costa Rica
Anand Giridharadas,anand-giridharadas,Anand Giridharadas,https://www.instagram.com/anandwrites,Video - Instagram,Newsletter - Substack,,,,,,"Culture, Politics","New York, NY","Power & Politics, Culture & Media",New York,NY,US,Northeast
Anastasiia Markova,anastasiia-markova,anastasiia.dc,https://www.instagram.com/anastasiia.dc,Video - Instagram,,,,,,,"Restaurants, Things to do","Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Anders Puck Nielsen,anders-puck-nielsen,Anders Puck Nielsen,https://www.youtube.com/@anderspuck,Video - YouTube,,,,,,,"World, National Security",Denmark,"Power & Politics, General News",,,Denmark,International
Andrew Callaghan,andrew-callaghan,Channel 5,https://www.youtube.com/@Channel5YouTube,Video - YouTube,,,,,,,"Media/Power, Internet Culture",National - US,Culture & Media,,,US,National
Andrew Dessler,andrew-dessler,The Climate Brink,https://www.theclimatebrink.com,Newsletter - Substack,Video - YouTube,,,,,,Climate/Environment,Texas - US,"Science, Health & Environment",,TX,US,South
Andrew Donlan,andrew-donlan,Still Gotta Come Through Chicago,https://sgctc.substack.com,Newsletter - Substack,,,,,,,"Sports, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Andrew Free,andrew-free,DetentionKills,https://detentionkills.substack.com,Newsletter - Substack,,,,,,,Immigration,"Atlanta, GA",Social Issues,Atlanta,GA,US,South
Andrew Gelman,andrew-gelman,Statistical Modeling,https://statmodeling.substack.com,Newsletter - Substack,,,,,,,"Data Visualization, Science","New York, NY","Science, Health & Environment, Journalism Formats",New York,NY,US,Northeast
Andrew Gill,andrew-gill,Rock That Doesn't Roll,https://pod.link/1703257857,Podcast,,,,,,,"History, Music, Faith/Religion, Culture","Chicago, IL","Social Issues, Culture & Media",Chicago,IL,US,Midwest
Andrew Janjigian,andrew-janjigian,Word Loaf,https://newsletter.wordloaf.org,Newsletter - Ghost,,,,,,,"Food, Education","Boston, MA","Civic Life, Lifestyle & Personal Life",Boston,MA,US,Northeast
Andrew Kammerer,andrew-kammerer,Andrew Kammerer,https://www.tiktok.com/@andrewsdailyday,Video - TikTok,,,,,,,"Health/Wellness, Local News, Day in a life, Food, Things to do","Chicago, IL","Civic Life, Science, Health & Environment, Journalism Formats, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Andrew Montalenti,andrew-montalenti,pixelmonkey.org,https://amontalenti.com,Website,,,,,,,Tech,Florida - US,Money & Work,,FL,US,South
Andrew Ricketts,andrew-ricketts,Big Black Commentary,https://bigblackcommentary.substack.com,Newsletter - Substack,,,,,,,"Culture, Entertainment/Hollywood","New York, NY",Culture & Media,New York,NY,US,Northeast
Andrew Sullivan,andrew-sullivan,The Weekly Dish,https://andrewsullivan.substack.com,Newsletter - Substack,Podcast,,,,,,"Politics, Culture","New York, NY","Power & Politics, Culture & Media",New York,NY,US,Northeast
Andy DeMeo,andy-demeo,Granite Goodness,https://www.granitegoodness.com,Newsletter - Substack,,,,,,,"Local News, Positive News",New Hampshire - US,"Civic Life, General News",,NH,US,Northeast
Andy Hay,andy-hay,East Coast Kitchen,https://www.instagram.com/andyseastcoastkitchen_,Video - Instagram,,,,,,,Food,Canada,Lifestyle & Personal Life,,,Canada,International
Andy Revkin,andy-revkin,Sustain What,https://revkin.substack.com,Newsletter - Substack,Video - YouTube,,,,,,"Climate/Environment, Science, Media/Power",Maine - US,"Science, Health & Environment, Culture & Media",,ME,US,Northeast
Angel Barragan,angel-barragan,Señor Barragan,https://www.tiktok.com/@senor_barragan,Video - TikTok,Video - Instagram,,,,,,"Culture, Education, Identity/Belonging",National - US,"Social Issues, Civic Life, Culture & Media",,,US,National
Angus Hervey,angus-hervey,Fix The News,fixthenews.com,Newsletter - Substack,,,,,,,"Solutions Journalism, Positive News, World",Australia,"General News, Journalism Formats",,,Australia,International
Anil Dash,anil-dash,Anil Dash,https://anildash.com,Website,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Anina Belle Giannini,anina-belle-giannini,le chefs wife,https://www.instagram.com/lechefswife,Video - Instagram,Social - Facebook,,,,,,Recipes,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Anna Brones,anna-brones,Creative Fuel,https://creativefuel.substack.com,Newsletter - Substack,Website,https://www.annabrones.com,,,,,Art,"Seattle, U.S. ",Culture & Media,Seattle,U.S.,,
