Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region,Partner Lists
Jeff Tiedrich,jeff-tiedrich,,https://www.jefftiedrich.com/,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jefftiedrich.bsky.social,,,,,Comedy,,Culture & Media,,,,,
Jefferson Fisher,jefferson-fisher,Just Ask Jefferson,https://www.tiktok.com/@justaskjefferson,Video - TikTok,,,,,,,"Explanatory, Self-Help",National - US,"Journalism Formats, Lifestyle & Personal Life",,,US,National,
Jeffrey Bellone,jeffrey-bellone,MetsFix,https://themetropolitan.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jeffreybellone.bsky.social,,,,,"Sports, Local","New York, NY","Civic Life, Lifestyle & Personal Life",New York,NY,US,Northeast,
Jeffrey Lewis,jeffrey-lewis,Arms Control Wonk,https://www.armscontrolwonk.com,Website,Social - BlueSky,https://bsky.app/profile/armscontrolwonk.bsky.social,,,,,National Security,California - US,Power & Politics,,CA,US,West,
Jeffrey Seglin,jeffrey-seglin,The Right Thing,jeffreyseglin.blogspot.com,Website,Social - BlueSky,https://bsky.app/profile/jseglin.bsky.social,,,,,"Business, Media/Power, Law/Legal Issues","Boston, MA","Power & Politics, Money & Work, Culture & Media",Boston,MA,US,Northeast,
Jemar Tisby,jemar-tisby,Footnotes,https://jemartisby.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jemartisby.skystack.xyz,,,,,Faith/Religion,Mississippi - US,Social Issues,,MS,US,South,
Jen Chase Solomon,jen-chase-solomon,Jen Chase Solomon,https://www.instagram.com/thejenchase/,Social - Instagram,Website,https://jenchasesolomon.com/,,,,,Photography,"Washington, DC",Culture & Media,Washington,DC,US,Mid-Atlantic,
Jen Gerson,jen-gerson,The Line,https://www.readtheline.ca,Newsletter - Substack,,,,,,,Politics,"Toronto, Canada",Power & Politics,Toronto,,CA,International,
Jen In Chicago,jen-in-chicago,Jen In Chicago,https://www.tiktok.com/@jen_in_chicago,Video - TikTok,,,,,,,"Local, Lifestyle, Day in a Life","Chicago, IL","Civic Life, Journalism Formats, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
Jen Roberts,jen-roberts,(un)rooted,https://jenroberts.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jenrobertsuk.bsky.social,,,,,"Culture, Identity/Belonging",France,"Social Issues, Culture & Media",,,FR,International,
Jen Ruiz,jen-ruiz,jenonajetplane,https://www.tiktok.com/@jenonajetplane,Video - TikTok,,,,,,,Travel,National - US,Lifestyle & Personal Life,,,US,National,
Jen Zamzow,jen-zamzow,Jen Zamzow,https://jenzamzow.substack.com,Newsletter - Substack,,,,,,,"Mental Health, Parenting",National - US,"Science Health & Environment, Lifestyle & Personal Life",,,US,National,Institute_for_Independent_Journalists
Jenn Budd,jenn-budd,Borderland Talk,https://jennbudd.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jennbudd.bsky.social,,,,,"Immigration, Activism","San Diego, CA",Social Issues,San Diego,CA,US,West,
Jenn Dowd,jenn-dowd,Data for Health,https://jenndowd.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/drjenndowd.bsky.social,,,,,Health/Wellness,United Kingdom,Science Health & Environment,,,GB,International,
Jenn W.,jenn-w,Jenn W.,https://www.instagram.com/jennrightmeow/,Social - Instagram,Social - Twitter / X,https://twitter.com/jennrightmeow,,,,,Photography,"Washington, DC",Culture & Media,Washington,DC,US,Mid-Atlantic,
Jenna Flanagan,jenna-flanagan,jflannys,https://www.tiktok.com/@jflannys,Video - TikTok,Newsletter - Substack,https://jflanagan.substack.com,,,,,Identity/Belonging,National - US,Social Issues,,,US,National,
Jenna Stoeber,jenna-stoeber,Jenna Stoeber,https://www.youtube.com/@the_jenna,Video - YouTube,,,,,,,Games/Gaming,National - US,Culture & Media,,,US,National,
Jenni Monet,jenni-monet,Indigenously,https://www.indigenously.org,Newsletter - Other,,,,,,,"Investigative, Climate/Environment",National - US,"Science Health & Environment, Journalism Formats",,,US,National,
Jennifer Ashton,jennifer-ashton,Jennifer Ashton,https://www.instagram.com/drjashton,Video - Instagram,,,,,,,Health/Wellness,"New York, NY",Science Health & Environment,New York,NY,US,Northeast,
Jennifer Berkshire,jennifer-berkshire,Have You Heard,https://haveyouheardpodcast.com,Podcast,Social - BlueSky,https://bsky.app/profile/jenniferberkshire.bsky.social,,,,,Education,Massachusetts - US,Civic Life,,MA,US,Northeast,
Jennifer Chen,jennifer-chen,Jennifer Chen,https://jenniferchen.substack.com/,Newsletter - Substack,,,,,,,"Lifestyle, Culture",National - US,"Culture & Media, Lifestyle & Personal Life",,,US,National,Institute_for_Independent_Journalists
Jennifer Chowdhury,jennifer-chowdhury,Port Of Entry,https://www.port-of-entry.com,Newsletter - Substack,,,,,,,Immigration,National - US,Social Issues,,,US,National,
Jennifer Fink,jennifer-fink,Jennifer Fink,https://buildingboys.substack.com/,Newsletter - Substack,,,,,,,Parenting,National - US,Lifestyle & Personal Life,,,US,National,Institute_for_Independent_Journalists
Jennifer Hattam,jennifer-hattam,Istanbul etc.,https://istanbuletcetera.substack.com,Newsletter - Substack,,,,,,,"World, Culture","Istanbul, Turkey","General News, Culture & Media",Istanbul,,TR,International,
Jennifer Pepito,jennifer-pepito,,https://restorationhome.podbean.com,Podcast,,,,,,,Parenting,,Lifestyle & Personal Life,,,,,
Jennifer Rubin,jennifer-rubin,Contrarian,https://contrarian.substack.com,Newsletter - Substack,,,,,,,"Politics, Law/Legal Issues","Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Jennifer Russell,jennifer-russell,The Woodbury Warbler,https://woodburywarbler.com,Website,,,,,,,"Local, Things to Do",New Jersey - US,"Civic Life, Lifestyle & Personal Life",,NJ,US,Northeast,
Jennifer Strong,jennifer-strong,SHIFT Podcast,https://podcasts.apple.com/us/podcast/shift/id1704924524,Podcast,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast,
Jenny Lawson,jenny-lawson,The Bloggess,https://thebloggess.com,Website,Social - BlueSky,https://bsky.app/profile/thebloggess.bsky.social,,,,,"Comedy, Books/Writing, Mental Health","San Antonio, TX","Science Health & Environment, Culture & Media",San Antonio,TX,US,South,
Jenny Rosenstrach,jenny-rosenstrach,Dinner: A Love Story,https://dinneralovestory.substack.com/,Newsletter - Substack,Social - Instagram,https://www.instagram.com/dinneralovestory/,,,,,"Food, Parenting","New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast,
Jeremiah Johnson,jeremiah-johnson,Infinite Scroll,https://www.infinitescroll.us/,Newsletter - Substack,,,,,,,Politics,,Power & Politics,,,,,
Jeremy Caplan,jeremy-caplan,Wonder Tools,https://wondertools.substack.com/,Newsletter - Substack,,,,,,,Media/Power,"New York, NY",Culture & Media,New York,NY,US,Northeast,
Jeremy Fassler,jeremy-fassler,The Big Board,https://www.jfassler.com/,Newsletter - Substack,,,,,,,"Politics, Media/Power",National - US,"Power & Politics, Culture & Media",,,US,National,Institute_for_Independent_Journalists
Jeremy Faust,jeremy-faust,Inside Medicine,https://insidemedicine.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jeremyfaust.bsky.social,,,,,Health/Wellness,"Boston, MA",Science Health & Environment,Boston,MA,US,Northeast,
Jeremy Klaszus,jeremy-klaszus,The Sprawl,https://www.sprawlcalgary.com,Website,Social - BlueSky,https://bsky.app/profile/klaszus.bsky.social,,,,,Local,Canada,Civic Life,,,CA,International,
Jeremy Lindenfeld,jeremy-lindenfeld,Jeremy Lindenfeld,https://x.com/jeremotographs,Social - Twitter / X,,,,,,,"Activism, Photography","Los Angeles, CA","Social Issues, Culture & Media",Los Angeles,CA,US,West,
Jeremy Markovich,jeremy-markovich,North Carolina Rabbit Hole,ncrabbithole.com,Newsletter - Other,Social - BlueSky,https://bsky.app/profile/ncrabbithole.com,,,,,"Politics, Local",North Carolina - US,"Power & Politics, Civic Life",,NC,US,South,
Jeremy Ney,jeremy-ney,American Inequality,https://americaninequality.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jeremybney.bsky.social,,,,,"Finance/Economics, Inequality","New York, NY","Social Issues, Money & Work",New York,NY,US,Northeast,
Jeremy Scahill,jeremy-scahill,Drop Site News,https://www.dropsitenews.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jeremyscahill.com,,,,,"Investigative, World","Washington, DC","General News, Journalism Formats",Washington,DC,US,Mid-Atlantic,
Jeremy Singer-Vine,jeremy-singer-vine,Data Is Plural,https://www.data-is-plural.com,Newsletter - Other,Social - BlueSky,https://bsky.app/profile/jsvine.com,,,,,Data Visualization,National - US,Journalism Formats,,,US,National,
Jerry Mead-Lucero,jerry-mead-lucero,Labor Express Radio,https://laborexpress.net,Podcast,,,,,,,"Labor/Workers Rights, Local, Politics","Chicago, IL","Power & Politics, Civic Life, Money & Work",Chicago,IL,US,Midwest,
Jerry Won,jerry-won,Jerry Won,https://www.linkedin.com/in/jerrywon,Social - LinkedIn,,,,,,,Identity/Belonging,"Los Angeles, CA",Social Issues,Los Angeles,CA,US,West,
Jerusalem Demsas,jerusalem-demsas,The Argument,https://www.theargumentmag.com,Newsletter - Substack,Podcast,https://podcasts.apple.com/us/podcast/good-on-paper/id1746176654,Social - BlueSky,https://bsky.app/profile/jerusalem.bsky.social,,,"Politics, Culture, Policy","Washington, DC","Power & Politics, Culture & Media",Washington,DC,US,Mid-Atlantic,
Jesper Koll,jesper-koll,,https://japanoptimist.substack.com,Newsletter - Substack,,,,,,,Finance/Economics,"Tokyo, Japan",Money & Work,Tokyo,,JP,International,
Jess Hill,jess-hill,Jess Hill,https://jesshill.substack.com,Newsletter - Substack,,,,,,,Gender,Australia,Social Issues,,,AU,International,
Jess Hood,jess-hood,jessrhood,https://www.instagram.com/jessrhood,Video - Instagram,Video - TikTok,https://www.tiktok.com/@jessicarosehood,,,,,"Things to Do, Fitness, Real Estate","Washington, DC","Money & Work, Lifestyle & Personal Life",Washington,DC,US,Mid-Atlantic,
Jesse Brown,jesse-brown,CanadaLand,https://www.canadaland.com,Podcast,Social - BlueSky,https://bsky.app/profile/jessebrown.bsky.social,,,,,Media/Power,Canada,Culture & Media,,,CA,International,
Jesse Dollemore,jesse-dollemore,Jesse Dollemore,https://www.dollemore.com/,Podcast,Video - YouTube,https://www.youtube.com/@dollemore,Newsletter - Substack,https://dollemore.substack.com/,Social - BlueSky,https://bsky.app/profile/dollemore.com,Politics,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Jesse Jenkins,jesse-jenkins,Princeton ZERO Lab,https://jessejenkins.com,Website,Social - Twitter / X,https://twitter.com/JesseJenkins,,,,,Climate/Environment,"Princeton, NJ",Science Health & Environment,Princeton,NJ,US,Northeast,
Jesse Ogundiran,jesse-ogundiran,Jesse Ogundiran,https://www.youtube.com/@jesseogn,Video - YouTube,,,,,,,Travel,"Tokyo, Japan",Lifestyle & Personal Life,Tokyo,,JP,International,
Jessica Baltzersen,jessica-baltzersen,Jessica Baltzersen,https://jpbaltzersen.substack.com/,Newsletter - Substack,,,,,,,"Climate/Environment, Travel","Cincinnati, OH","Science Health & Environment, Lifestyle & Personal Life",Cincinnati,OH,US,Midwest,Institute_for_Independent_Journalists
Jessica Burbank,jessica-burbank,Jessica Burbank,https://www.instagram.com/kaburbank,Video - Instagram,,,,,,,General News,"Des Moines, IA",General News,Des Moines,IA,US,Midwest,
Jessica Dante,jessica-dante,Love and London,https://www.youtube.com/@loveandlondon,Video - YouTube,Social - Instagram,https://www.instagram.com/jessdante/,,,,,"Travel, Lifestyle, Food","London, England",Lifestyle & Personal Life,London,England,,,
Jessica Defino,jessica-defino,Flesh World,https://jessicadefino.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jessicadefino.skystack.xyz,,,,,"Culture, Fashion, Media/Power",National - US,"Culture & Media, Lifestyle & Personal Life",,,US,National,
Jessica Hullman,jessica-hullman,,https://jessicahullman.substack.com,Newsletter - Substack,,,,,,,Data Visualization,,Journalism Formats,,,,,
Jessica Huseman,jessica-huseman,Votebeat,https://www.votebeat.org,Website,Social - BlueSky,https://bsky.app/profile/jessicahuseman.bsky.social,,,,,Politics,"Dallas, TX",Power & Politics,Dallas,TX,US,South,
Jessica Malaty Rivera,jessica-malaty-rivera,Jessica Malaty Rivera,https://www.instagram.com/jessicamalatyrivera/,Social - Instagram,Newsletter - Substack,https://substack.com/@makingsciencemakesense,,,,,Health/Wellness,"San Francisco, CA",Science Health & Environment,San Francisco,CA,US,West,
Jessica Nguyen,jessica-nguyen,Jessica Nguyen,https://www.instagram.com/jessxnguyen/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@jessxnguyen,Video - YouTube,https://www.youtube.com/@jessxnguyen,Social - BlueSky,https://bsky.app/profile/jessica123456789.bsky.social,Things to Do,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Jessica Pishko,jessica-pishko,Posse Comitatus,https://sheriffs.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jesspish.bsky.social,,,,,"Law/Legal Issues, Immigration",North Carolina - US,"Power & Politics, Social Issues",,NC,US,South,
Jessica Valenti,jessica-valenti,Abortion Every Day,https://jessica.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jessicavalenti.bsky.social,,,,,Government Accountability,"New York, NY",Power & Politics,New York,NY,US,Northeast,
Jessica Yellin,jessica-yellin,News Not Noise,https://www.instagram.com/jessicayellin,Video - Instagram,,,,,,,Politics,"Los Angeles, CA",Power & Politics,Los Angeles,CA,US,West,
Jhonn Jackson,jhonn-jackson,Uncle Jhonn,https://www.instagram.com/unclejhonn_,Video - Instagram,,,,,,,Home,"Baton Rouge, LA","Civic Life, Lifestyle & Personal Life",Baton Rouge,LA,US,South,
Jill Filipovic,jill-filipovic,Jill,https://jill.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jillfilipovic.bsky.social,,,,,"Politics, Gender, Human Rights","Brooklyn, NY","Power & Politics, Social Issues",Brooklyn,NY,US,Northeast,
Jillian Melero,jillian-melero,Connect Puerto Rico,https://www.connect-puertorico.com,Newsletter - Other,,,,,,,Energy,Puerto Rico - US,Science Health & Environment,,PR,US,,
Jim Acosta,jim-acosta,Jim Acosta,https://x.com/Acosta,Social - Twitter / X,Video - Instagram,https://www.instagram.com/jimacosta,Social - BlueSky,https://bsky.app/profile/jimacosta.bsky.social,,,"Politics, General News","Washington, DC","Power & Politics, General News",Washington,DC,US,Mid-Atlantic,
Jim Branscome,jim-branscome,,https://jbranx.substack.com,Newsletter - Substack,,,,,,,Local,,Civic Life,,,,,
Jim Duncan,jim-duncan,Jim's Note,https://realcentralva.substack.com/,Newsletter - Substack,,,,,,,Urban Planning,"Charlottesville, VA",Civic Life,Charlottesville,VA,US,South,
Jim Hansen,jim-hansen,Climate Uncensored,https://jimehansen.substack.com,Newsletter - Substack,,,,,,,Climate/Environment,"New York, NY",Science Health & Environment,New York,NY,US,Northeast,
Jim Hewitt,jim-hewitt,,https://scienceoflearning.substack.com,Newsletter - Substack,,,,,,,Education,"Toronto, Canada",Civic Life,Toronto,,CA,International,
Jim Rosenfield,jim-rosenfield,Life Unexpectancy With Jim Rosenfield,https://open.spotify.com/show/5A75aVDjkaRxCNPYLi28h1,Podcast,Social - Instagram,https://www.instagram.com/lifeunexpectancy,,,,,"Mental Health, Day in a Life","New York, NY","Science Health & Environment, Journalism Formats",New York,NY,US,Northeast,
Jim Waterson,jim-waterson,London Centric,https://www.londoncentric.media,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jim.londoncentric.media,,,,,"Local, Media/Power, Politics, Investigative",United Kingdom,"Power & Politics, Civic Life, Culture & Media, Journalism Formats",,,GB,International,
Jiquanda Johnson,jiquanda-johnson,Flint Beat,https://flintbeat.com/,Website,,,,,,,"Local, Solutions Journalism","Flint, MI","Civic Life, Journalism Formats",Flint,MI,US,Midwest,Institute_for_Independent_Journalists
JJ McCullough,jj-mccullough,JJ McCullough,https://www.youtube.com/@JJMcCullough,Video - YouTube,Social - Twitter / X,https://x.com/JJ_McCullough,Social - BlueSky,https://bsky.app/profile/jj-mccullough.bsky.social,,,"Culture, History, Politics",Canada,"Power & Politics, Culture & Media",,,CA,International,
Joanna Goddard,joanna-goddard,Cup of Jo,https://cupofjo.com,Website,Video - Instagram,https://www.instagram.com/cupofjo/?hl=en,,,,,"Parenting, Lifestyle, Home","New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast,
Joanna Stern,joanna-stern,Thisismynextthing,https://www.thisismynexthing.com,Website,,,,,,,Tech,National - US,Money & Work,,,US,National,
Jodi Ettenberg,jodi-ettenberg,,https://www.legalnomads.com,Website,Newsletter - Substack,,,,,,Travel,,Lifestyle & Personal Life,,,,,
Joe Doyle,joe-doyle,Over Slot,https://overslotbaseball.com,Website,Social - Twitter / X,https://x.com/JoeDoyleMiLB,Social - BlueSky,https://bsky.app/profile/joedoylemilb.bsky.social,,,Sports,National - US,Lifestyle & Personal Life,,,US,National,
Joe Flood,joe-flood,Joe Flood,https://www.instagram.com/joeflood/,Social - Instagram,Website,https://www.joeflood.com/,Social - Twitter / X,https://twitter.com/joeflood,Social - BlueSky,https://bsky.app/profile/joeflood.bsky.social,Photography,"Washington, DC",Culture & Media,Washington,DC,US,Mid-Atlantic,
Joe Himali,joe-himali,Best Address,https://www.instagram.com/bestaddress,Video - Instagram,Video - TikTok,https://www.tiktok.com/@bestaddress,,,,,"History, Architecture","Washington, DC",Culture & Media,Washington,DC,US,Mid-Atlantic,
Joe Polito,joe-polito,Joe Polito,https://www.instagram.com/journeybyjoe/,Social - Instagram,Social - BlueSky,https://bsky.app/profile/joepojr.bsky.social,,,,,"Travel, LGBTQIA",United States,"Social Issues, Lifestyle & Personal Life",,,US,National,
Joe Posnanski,joe-posnanski,Joe Blogs,https://www.joeposnanski.com,Newsletter - Beehiiv,Social - BlueSky,https://bsky.app/profile/joeposnanski.com,,,,,Sports,"Kansas City, MO",Lifestyle & Personal Life,Kansas City,MO,US,Midwest,
Joe Rogan,joe-rogan,The Joe Rogan Experience,https://www.youtube.com/@joerogan,Video - YouTube,Podcast,https://open.spotify.com/show/4rOoJ6Egrf8K2IrywzwOMk,Social - BlueSky,https://bsky.app/profile/joerogantop.bsky.social,,,"Politics, Culture, Comedy","Austin, TX","Power & Politics, Culture & Media",Austin,TX,US,South,
Joe Snell,joe-snell,Joe Snell Reports,https://www.instagram.com/joesnellreports,Video - Instagram,,,,,,,World,Iraq,General News,,,IQ,International,
Joe Sneve,joe-sneve,The Dakota Scout,https://www.thedakotascout.com,Newsletter - Substack,,,,,,,Local,"Sioux Falls, SD",Civic Life,Sioux Falls,SD,US,Midwest,
Joel Whitaker,joel-whitaker,Kane's Beverage News Daily,https://bevnews.net/,Website,Video - YouTube,https://www.youtube.com/@joelwhitaker-bevnewsonline9878,Social - Twitter / X,https://x.com/bevnews,Social - LinkedIn,https://www.linkedin.com/in/joel-whitaker-9885b714/,"Business, Finance/Economics","Silver Spring, MD",Money & Work,Silver Spring,MD,US,South,
Joeri Schasfoort,joeri-schasfoort,Money & Macro,https://www.youtube.com/@MoneyMacro,Video - YouTube,,,,,,,Finance/Economics,Netherlands,Money & Work,,,NL,International,
Joey D'Urso,joey-durso,,https://joeydurso.substack.com,Newsletter - Substack,Social - Twitter / X,https://x.com/josephmdurso,,,,,Sports,"London, UK",Lifestyle & Personal Life,London,,GB,International,
Joey Ferguson,joey-ferguson,JFergal,https://www.youtube.com/@Joey_Ferguson,Video - YouTube,,,,,,,"General News, Internet Culture",North Carolina - US,"General News, Culture & Media",,NC,US,South,
Joey Scott,joey-scott,JoeyNeverJoe,https://www.instagram.com/joeyneverjoe,Video - Instagram,Newsletter - Beehiiv,https://hs-newsletter-e91163.beehiiv.com,Social - BlueSky,https://bsky.app/profile/joeyneverjoe.bsky.social,,,Investigative,"Los Angeles, CA",Journalism Formats,Los Angeles,CA,US,West,
Joey Scott,joey-scott-foia,joeyscott.xyz,https://joeyscott.xyz,Website,Newsletter - Other,,,,,,Crime,"Los Angeles, CA",Civic Life,Los Angeles,CA,US,West,
Johanna Ferreira,johanna-ferreira,Johanna Ferreira,https://substack.com/@offtherecordwithjohannaferreira,Newsletter - Substack,Video - Instagram,https://www.instagram.com/cup_of_johanna,,,,,"Identity/Belonging, Culture, Health/Wellness","New York, NY","Social Issues, Science Health & Environment, Culture & Media",New York,NY,US,Northeast,
John Birdsall,john-birdsall,Shifting the Food Narrative,https://johnbirdsall.substack.com,Newsletter - Substack,,,,,,,Food,National - US,Lifestyle & Personal Life,,,US,National,
John Cochrane,john-cochrane,John H. Cochrane,https://johnhcochrane.substack.com,Newsletter - Substack,,,,,,,Finance/Economics,California - US,Money & Work,,CA,US,West,
John D. Harden,john-d-harden,Wrong Number,https://wrongnumber.beehiiv.com,Newsletter - Beehiiv,,,,,,,General News,"Washington, DC",General News,Washington,DC,US,Mid-Atlantic,
John Dickerson,john-dickerson,John Dickerson,https://johnfdickerson.substack.com,Newsletter - Substack,,,,,,,Politics,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
John Earl,john-earl,SoCal Water Wars,https://socalwaterwars.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/socalwaterwars.bsky.social,,,,,"Climate/Environment, Government Accountability, Local",California - US,"Power & Politics, Civic Life, Science Health & Environment",,CA,US,West,
John Ellis,john-ellis,News Items,https://newsitems.substack.com,Newsletter - Substack,,,,,,,General News,National - US,General News,,,US,National,
John Ganz,john-ganz,Unpopular Front,https://www.unpopularfront.news,Newsletter - Substack,,,,,,,"Politics, History","New York, NY","Power & Politics, Culture & Media",New York,NY,US,Northeast,
John Glover,john-glover,The Interest Rate,https://theinterestrate.substack.com,Newsletter - Substack,,,,,,,"Finance/Economics, World",Scotland,"Money & Work, General News",,,GB,International,
John Gruber,john-gruber,Daring Fireball,https://daringfireball.net,Website,Social - BlueSky,https://bsky.app/profile/gruber.foo,,,,,Tech,"Philadelphia, PA",Money & Work,Philadelphia,PA,US,Northeast,
John Heilprin,john-heilprin,The Science Diplomat,https://thesciencediplomat.substack.com,Newsletter - Substack,,,,,,,"Science, Foreign Policy, Policy",Switzerland,"Power & Politics, Science Health & Environment",,,CH,International,
John Iadarola,john-iadarola,The Damage Report,https://www.youtube.com/@TheDamageReport,Video - YouTube,Social - Facebook,https://www.facebook.com/TheDamageReportTYT/,Social - BlueSky,https://bsky.app/profile/johniadarola.bsky.social,,,Politics,"Los Angeles, CA",Power & Politics,Los Angeles,CA,US,West,
John Russell,john-russell,The Holler,https://www.instagram.com/heyjohnrussell/,Social - Instagram,Newsletter - Substack,https://www.theholler.co,Social - BlueSky,https://bsky.app/profile/johnrussell40.bsky.social,,,Local,"Wheeling, WV",Civic Life,Wheeling,WV,US,South,
John Wake,john-wake,Real Estate Decoded,https://johnwake.substack.com/,Newsletter - Substack,,,,,,,Urban Planning,"Phoenix, AZ",Civic Life,Phoenix,AZ,US,West,
John Washington,john-washington,Lit & Border News,https://johnwashington.substack.com/,Newsletter - Substack,,,,,,,Immigration,,Social Issues,,,,,
Johnny Cole Dickson,johnny-cole-dickson,No Lab Coat Required,https://www.youtube.com/@NoLabCoatRequired,Video - YouTube,,,,,,,"Science, Health/Wellness","Chicago, IL",Science Health & Environment,Chicago,IL,US,Midwest,
Johnny Harris,johnny-harris,Johnny Harris,https://www.youtube.com/@johnnyharris,Video - YouTube,,,,,,,Explanatory,International,Journalism Formats,,,,International,
Jon Bois,jon-bois,Secret Base,https://www.youtube.com/@SecretBaseSBN,Video - YouTube,Social - BlueSky,https://bsky.app/profile/jonbois.bsky.social,,,,,Sports,National - US,Lifestyle & Personal Life,,,US,National,
Jon Haidt,jon-haidt,After Babel,https://www.afterbabel.com,Newsletter - Substack,,,,,,,"Tech, Culture","Boston, MA","Money & Work, Culture & Media",Boston,MA,US,Northeast,
Jon Perry,jon-perry,Stated Clearly,https://www.youtube.com/@StatedClearly,Video - YouTube,Website,https://www.statedclearly.com,,,,,Science,National - US,Science Health & Environment,,,US,National,
Jon Worth,jon-worth,Independent EU railway/transport-policy commentator,https://jonworth.eu/,Newsletter - Ghost,,,,,,,Media/Power,Germany,Culture & Media,,,DE,International,
Jon Youshaei,jon-youshaei,Jon Youshaei,https://www.youtube.com/@youshaei,Video - YouTube,Video - Instagram,https://www.instagram.com/youshaei/?hl=en,,,,,"Careers, Tech","Los Angeles, CA",Money & Work,Los Angeles,CA,US,West,
Jonah Fialkow,jonah-fialkow,Jewish Jonah,https://www.tiktok.com/@jewishjonah,Video - TikTok,,,,,,,"Comedy, Sports, Identity/Belonging, Food, Day in a Life, Local","Chicago, IL","Social Issues, Civic Life, Culture & Media, Journalism Formats, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
Jonah Weiner,jonah-weiner,Blackbird Spyplane,https://www.blackbirdspyplane.com,Newsletter - Substack,,,,,,,"Fashion, Culture","Oakland, CA","Culture & Media, Lifestyle & Personal Life",Oakland,CA,US,West,
Jonathan Ellis,jonathan-ellis,The Dakota Scout,https://www.thedakotascout.com,Newsletter - Substack,,,,,,,Local,"Sioux Falls, SD",Civic Life,Sioux Falls,SD,US,Midwest,
Jonathan Katz,jonathan-katz,Katz on Earth,https://www.tiktok.com/@katzonearth,Video - TikTok,Social - Twitter / X,https://x.com/katzonearth,,,,,"Politics, History",National - US,"Power & Politics, Culture & Media",,,US,National,
Jonathan Larsen,jonathan-larsen,Jonathan Larsen's Substack,https://jonathanlarsen.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jonathanlarsen.bsky.social,,,,,"Investigative, Politics, Faith/Religion",New Jersey - US,"Power & Politics, Social Issues, Journalism Formats",,NJ,US,Northeast,
Jonathan M. Katz,jonathan-m-katz,The Racket,https://theracket.news,Website,,,,,,,Politics,,Power & Politics,,,,,
Jonathan Macri,jonathan-macri,Knicks Film School,https://knicksfilmschool.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/jonathanmacri.bsky.social,,,,,"Sports, Local","New York, NY","Civic Life, Lifestyle & Personal Life",New York,NY,US,Northeast,
Jonathan Miller,jonathan-miller,Housing Notes,(Substack/millersamuel),Newsletter - Substack,,,,,,,Urban Planning,"New York, NY",Civic Life,New York,NY,US,Northeast,
Jonathan Nunn,jonathan-nunn,Vittles,https://vittles.substack.com,Newsletter - Substack,,,,,,,"Food, Culture",United Kingdom,"Culture & Media, Lifestyle & Personal Life",,,GB,International,
Jonathan P. Thompson,jonathan-p-thompson,The Land Desk,https://www.landdesk.org,Newsletter - Substack,,,,,,,Climate/Environment,Colorado - US,Science Health & Environment,,CO,US,West,
Jonathan Rabb,jonathan-rabb,Watch The Yard,https://watchtheyard.com,Website,Social - BlueSky,https://bsky.app/profile/jonathanrabb.bsky.social,,,,,Identity/Belonging,National - US,Social Issues,,,US,National,
Jonathan Schwabish,jonathan-schwabish,Policy Viz,https://policyviz.substack.com,Newsletter - Substack,,,,,,,"Explanatory, Government Accountability","Washington, DC","Power & Politics, Journalism Formats",Washington,DC,US,Mid-Atlantic,
Jonathan Zaragoza,jonathan-zaragoza,goatboyintl,https://www.tiktok.com/@goatboyintl,Video - TikTok,,,,,,,"Recipes, Food, Identity/Belonging","Chicago, IL","Social Issues, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
