handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
dinoray.bsky.social,Dino-Ray Ramos,ok,903,799,2025-03-17T01:32:10.345Z,,2026-07-01T16:56:57.693299+00:00
dougshapiro.bsky.social,Doug Shapiro,ok,156,9,2025-01-15T02:33:37.043Z,,2026-07-01T16:56:58.104775+00:00
drjengunter.bsky.social,Dr. Jen Gunter,ok,103702,2205,2024-11-15T17:06:32.532Z,,2026-07-01T16:56:58.750032+00:00
dylan-page.bsky.social,Dylan Page,ok,1103,96,2024-11-17T21:43:52.672Z,,2026-07-01T16:56:59.364687+00:00
edzitron.com,Ed Zitron,ok,181983,30533,2026-06-30T16:04:16.318Z,,2026-07-01T16:56:59.899759+00:00
emilieraguso.com,Emilie Raguso,ok,48,0,2025-01-02T07:15:32.644Z,,2026-07-01T16:57:00.306467+00:00
emdashsanders.bsky.social,Emily Sanders,ok,7350,275,2026-06-29T18:56:56.832Z,,2026-07-01T16:57:00.698064+00:00
ericblanc.bsky.social,Eric Blanc,ok,9863,538,2025-10-15T20:04:20.516Z,,2026-07-01T16:57:01.103473+00:00
ericzorn.bsky.social,Eric Zorn,ok,2032,613,2024-02-12T15:00:52.162Z,,2026-07-01T16:57:01.508002+00:00
grocerynerd.bsky.social,Errol Schweizer,ok,348,39,2024-12-05T03:04:38.948Z,,2026-07-01T16:57:01.898317+00:00
emollick.bsky.social,Ethan Mollick,ok,35443,2732,2026-04-07T04:33:30.048Z,,2026-07-01T16:57:02.307126+00:00
evaschulz.bsky.social,Eva Schulz,ok,7873,0,2024-01-20T07:24:25.644Z,,2026-07-01T16:57:02.901312+00:00
bostopianews.bsky.social,Evan George,ok,112,6,2025-01-06T20:27:20.744Z,,2026-07-01T16:57:03.298148+00:00
franifio.bsky.social,Francesca Fiorentini,ok,55688,670,2026-02-07T21:01:34.845Z,,2026-07-01T16:57:03.665947+00:00
frankshyong.bsky.social,Frank Shyong,ok,1065,247,2025-01-07T22:03:09.644Z,,2026-07-01T16:57:04.112381+00:00
garrettbucks.bsky.social,Garrett Bucks,ok,1904,820,2025-12-11T17:21:40.225Z,,2026-07-01T16:57:04.501353+00:00
vermontgmg.bsky.social,Garrett Graff,ok,102859,2044,2025-08-30T00:57:30.698Z,,2026-07-01T16:57:05.039632+00:00
garymarcus.bsky.social,Gary Marcus,ok,30637,1398,2026-02-02T15:15:53.845Z,,2026-07-01T16:57:05.440578+00:00
geneweingarten.bsky.social,Gene Weingarten,ok,1839,369,2024-11-24T20:54:34.647Z,,2026-07-01T16:57:05.853169+00:00
gillian.bsky.social,Gillian Morris,ok,532,44,2024-11-19T17:07:39.507Z,,2026-07-01T16:57:06.242218+00:00
glennkessler.bsky.social,Glenn Kessler,ok,19245,352,2026-01-09T17:27:07.925Z,,2026-07-01T16:57:06.646724+00:00
gradyhillhouse.bsky.social,Grady Hillhouse,ok,103,0,2025-02-19T16:31:17.847Z,,2026-07-01T16:57:07.040057+00:00
chortle.blog,Greg Nix,ok,425,393,2024-12-06T17:18:53.846Z,,2026-07-01T16:57:07.443933+00:00
