name,rss_url,platform,error_reason
Kevin Cirilli,https://mtf.tv/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:2881: not well-formed (invalid token)
Lina Lecaro,https://linalecaro.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Ken White,https://www.popehat.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Lisa Bennett,https://lisabennett.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Lorraine Adams,https://lorraineadams1.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Madeline Hill,https://www.sportsgossipshow.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Louie Woodall,https://www.climateproof.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:100:8465: not well-formed (invalid token)
Maddy Myers,https://www.mothership.blog/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:21:69: not well-formed (invalid token)
Latoya Allen,https://thestrategyfiles.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Mark Hertling,https://markhertling.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Mark Trahant,https://marktrahant.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Masuma Ahuja,https://futurepossible.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Maggie Sellers Reum,https://hotsmartrich.com/feed,Website,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Matt Laslo,https://www.askapolpolitics.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Matt Stoller,https://www.thebignewsletter.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:1326: not well-formed (invalid token)
Max Levy,sequencermag.com/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:2:16: not well-formed (invalid token)
Matthew Zeitlin,https://www.footnoted.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:81:2: mismatched tag
Meghann Cuniff,https://www.legalaffairsandtrials.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Meredith Sell,https://womensbarbellclub.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Micheline Maynard,culinarywoman.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:26: not well-formed (invalid token)
Mike Shanahan,https://thenaturebeat.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Mel Buer,https://wordsaboutwork.blog/support-waw/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:102:18: not well-formed (invalid token)
Miranda Green,https://mirandacgreen.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Michelle Leder,https://footnoted.com/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:81:2: mismatched tag
Nat Herz,www.northernjournal.com/rss,Newsetter - Ghost,PARSE_ERROR: <unknown>:2:23: not well-formed (invalid token)
Nathan Graber-Lipperman,https://www.creatormag.blog/feed,Newsletter - Substack,PARSE_ERROR: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)>
Niala Boodhoo,https://substack.com/@nialaboodhoo/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Neil Greenberg,https://fancystats.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Mike Butcher,https://pathfounders.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Patrick McNamara,www.ohmyrockness.com/feed,Website,PARSE_ERROR: <unknown>:2:20: not well-formed (invalid token)
Patrick Pfingsten,www.theillinoize.com/feed,Website,PARSE_ERROR: <unknown>:2:20: not well-formed (invalid token)
Neil Malik,https://www.readthelevel.ca/feed,Website,PARSE_ERROR: <unknown>:2:437: not well-formed (invalid token)
"Patrick, Jeremy, Randy Richardson",https://www.wrigleyvillenation.com/about/feed,Website,PARSE_ERROR: text/html; charset=utf-8 is not an XML media type
Paul Brandus,https://disinformationwire.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Peter Erdelyi,https://funds4media.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Peter Kalmus,https://substack.com/@climatehuman/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Petula Devorak,https://petuladvorak.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Neha Ruch,https://www.motheruntitled.com/feed,Website,PARSE_ERROR: <unknown>:2:0: syntax error
Prakash Loungani,https://globalhousingwatch.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Rachel Cohen,https://rachelsnewsletter.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Peter Beck,https://www.courtwatch.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Rahim Jessani,https://bottomup.news/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Rebecca Nagle,https://gohini.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Rich Miller,capitolfax.com/feed,Website,PARSE_ERROR: <unknown>:2:14: not well-formed (invalid token)
Rich Leiby,https://rleiby.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Richard Pretorius,https://wanderingsandwisdoms.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Phil Rosen,https://www.openingbelldailynews.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Paul Fain,https://the-job.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Ravi Somaiya,https://bungalow-magazine.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Ross Barkan,rosselliotbarkan.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:20: not well-formed (invalid token)
Rick Hasen,https://electionlawblog.org/feed,Website,PARSE_ERROR: <unknown>:69:50: undefined entity
Peter Greene,https://curmudgucation.blogspot.com/feed,Website,PARSE_ERROR: <unknown>:23:2: not well-formed (invalid token)
Ron Charles,https://substack.com/@roncharles/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Ryan Goodman,https://www.justsecurity.org/feed,Website,PARSE_ERROR: <unknown>:2:1326: not well-formed (invalid token)
Ryan Lizza,https://substack.com/@ryanlizza/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Rose Thomas Bannister,https://www.mododibere.com/feed,Website,PARSE_ERROR: <unknown>:2:0: syntax error
Rowan Cheung,https://www.rundown.ai/feed,Website,PARSE_ERROR: <unknown>:2:964: not well-formed (invalid token)
Richard Lawson,https://www.premiereparty.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Robert Scoble,https://www.unaligned.io/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Sarah Mock,https://sarahmock.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Scott Braddock,quorumreport.com/feed,Website,PARSE_ERROR: <unknown>:2:16: not well-formed (invalid token)
Sandro Galea,https://sandrogalea.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Rusty Foster,https://www.todayintabs.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Sally Squires,https://leanplateclub.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Ryan Sutton,https://thelotimes.com/feed,Newsletter - Substack,PARSE_ERROR: text/html is not an XML media type
Sean Highkin,rosegardenreport.com/feed,Website,PARSE_ERROR: <unknown>:2:20: not well-formed (invalid token)
Sara Petersen,https://substack.com/@sarapetersen/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Scott Choppin,https://therealsignal.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Ryan Welton,https://oklahomamemo.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Sophia Laurenzi,https://sophialaurenzi.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Stephanie. Lau,https://stephhlau.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Suzanne Kianpour,www.helmettoheels.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:21: not well-formed (invalid token)
Stephen Smysnuik,https://www.readthelevel.ca/feed,Website,PARSE_ERROR: <unknown>:2:437: not well-formed (invalid token)
Tara Parker-Pope,https://substack.com/@taraparkerpope/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Tatum Hunter,https://bytatumhunter.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Seamus Hughes,https://twitter.com/SeamusHughes/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:2:376: not well-formed (invalid token)
Theresa Goodrich,https://chicagolandmarks.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
The Bigs,https://www.thebigs.us/feed,Website,PARSE_ERROR: <unknown>:20:18: not well-formed (invalid token)
Todd Miller,https://theborderchronicle.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Thomas Zimmer,https://steady.page/en/democracyamericana/posts/feed,Website,PARSE_ERROR: <unknown>:29:104: not well-formed (invalid token)
Steve Morris,https://thelongrun.news/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Tom Martin,https://lawdroid.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Tyler Dunne,https://golongtd.com/feed,Newsletter - Substack,PARSE_ERROR: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
Victoria M. Walker,https://victoriamwalker.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Taylor Justin,https://thehauteseeker.com/about/feed,Website,PARSE_ERROR: <unknown>:37:656: not well-formed (invalid token)
Victoria Wolff,https://ouramagansetthouse.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Vlad,https://vladyyy.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Yeganeh Torbati,https://yeganehtorbati.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Tomo Chien,https://morningtrojan.com/feed,Newsletter - Beehiiv,PARSE_ERROR: text/html; charset=utf-8 is not an XML media type
Tom Lobianco,https://www.linkedin.com/in/tomlobianco/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:9:21: not well-formed (invalid token)
Whitney Bauck,https://whitneybauck.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Shajan C Kumar,https://newsnatives.com/news-updates/feed,Website,PARSE_ERROR: <unknown>:28:65: not well-formed (invalid token)
Ulrike Langer,https://newsmachines.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Zerlina Maxwell,https://zerlinamaxwell.substack.com/about/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Tony Mecia,https://www.thecharlotteledger.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Yoni Greenbaum,https://www.backstoryandstrategy.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Zoë Hannah,https://www.mothership.blog/rss,Newsletter - Ghost,PARSE_ERROR: <unknown>:21:69: not well-formed (invalid token)
Vanessa Armstrong,https://tubetalk.media/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:248:8592: not well-formed (invalid token)
Yonah Freemark,https://www.thetransportpolitic.com/feed,Website,PARSE_ERROR: <unknown>:81:2: mismatched tag
